Latitute,Lognigtute,Timestamp [HhMmSs],HCP conductivity of 0.5m array [mS/m],HCP inphase of 0.5m array [ppt],PRP conductivity of 0.5m array [mS/m],PRP inphase of 0.5m array [ppt],HCP conductivity of 1m array [mS/m],HCP inphase of 1m array [ppt],PRP conductivity of 1m array [mS/m],PRP inphase of 1m array [ppt],Voltage [V],Temperature [deg],Pitch [deg],Roll [deg],Acceleration X [gal],Acceleration Y [gal],Acceleration Z [gal],Magnetic field X [nT],Magnetic field Y [nT],Magnetic field Z [nT],Temperature [deg]
-31.977426123666667,115.81717328233333, 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
-31.977427718333335,115.81717406533333, 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
-31.977429316166667,115.81717413833333, 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
-31.9774310175,115.81717349083333, 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
-31.9774337815,115.81717091016667, 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
-31.977436027333333,115.817167091, 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
-31.977437896666668,115.8171645115, 221454.727, +47.9, +3.09, +4.4, +0.63, +47.9, +3.09, +4.4, +0.63, 221454.727, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4
-31.977439648833332,115.81716300966667, 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
-31.9774410255,115.8171617, 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
-31.9774421465,115.81716061383334, 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
