Timestamp [HhMmSs],HCP conductivity of 0.5m array [mS/m],HCP inphase of 0.5m array [ppt],PRP conductivity of 0.5m array [mS/m],PRP inphase of 0.5m array [ppt],HCP conductivity of 1m array [mS/m],HCP inphase of 1m array [ppt],PRP conductivity of 1m array [mS/m],PRP inphase of 1m array [ppt],Voltage [V],Temperature [deg],Pitch [deg],Roll [deg],Acceleration X [gal],Acceleration Y [gal],Acceleration Z [gal],Magnetic field X [nT],Magnetic field Y [nT],Magnetic field Z [nT],Temperature [deg]
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +47.9, +3.09, +4.4, +0.63, 221454.727, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +47.9, +3.09, +4.4, +0.63, 221454.727, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
 221454.727, +47.9, +3.09, +4.4, +0.63, +14.9, +2.68, +56.5, +2.39, +12.09, +16.2, -0.3, +9.4, +4, +164, +999, -95, +165, +367, +17.9
